ID,Abbr,Agency
2963,RPPO,Radiological Pilot Program Office
2969,RRAC,Regional Radiological Assistance Committee
2971,RRF,Regional Response Force
2980,RSPA,Research and Special Programs Administration
2984,RSU,Response Support Unit
2987,RTAP,Real-Time Analytical Platform
2994,RUS,Rural Utilities Service
2999,S-60,DOT Office of Intelligence Security
3000,SAA,State Administrative Agency 
3012,SAMHSA,Substance Abuse and Mental Health Services Administration
3024,SATO,Scheduled Airline Ticket Office
3027,SBCCOM,Soldier and Biological Chemical Command
3030,SBIR,Small Business Innovation Research 
3038,SCC,Secretary's Command Center
3040,SCEC,Southern California Earthquake Center
3041,SCEPC,Senior Civil Emergency Planning Committee
3044,SCIC,Software Control Integration Center
3048,SCOTUS,Supreme Court of the United States
3053,SCS,Soil and Conservation Service
3058,SDD,Software Development Division
3065,SEC,Securities and Exchange Commission 
3067,SECC,State Emergency Coordination Center
3074,SEI,Software Engineering Institute
3077,SEMA,State Emergency Management Agency
3078,SEMO,State Emergency Management Office
3082,SEOC,State Emergency Operations Center 
3084,SERC,State Emergency Response Commission
3091,SES,Senior Executive Service
3108,SHPO,State Historic Preservation Office
3112,SICG,Senior Interagency Coordination Group
3116,SIES,Strategic Industries and Economic Security
3122,SIOC,Strategic Information and Operations Center 
3139,SLSAC,State and Local Officials Senior Advisory Committee
3141,SMAC,State Mapping Advisory Committee
3142,SMC,Specialty Management Center
3143,SMCC,System Management Control Center
3145,SMG,Specialty Management Group
3146,SMHA,State Mental Health Agency
3148,SMO,Security Management Office
3155,SNL,Sandia National Laboratory
3176,SPC,Storm Prediction Center
3177,SPCA,Society for the Prevention of Cruelty to Animals
3178,SPDC,Small Business Development Center
3185,SPRB,Senior Performance Review Board
3191,SRSC,Strategic Review Steering Committee
3197,SSFSD,Secret Service Forensic Sciences Division 
3198,SSG,Strategic Sourcing Group
3206,STA,Special Temporary Authority
3290,STARC,State Area Command
3295,STB,Surface Transportation Board
3297,STDO,Security Technology Deployment Office
3300,ST ISAC,Surface Transportation Information Sharing and Analysis Center
3302,STOC,Sniper Tactical Operations Center
3320,SWC,Severe Weather Center
3323,SWG,Security Working Group 
3332,TAC-SMC,Tactical Specialized Management Center
3360,TEEX,Texas Engineering Extension Service
3363,TEMA,Tennessee Emergency Management Agency
3364,TEOAF,Treasury Executive Office of Asset Forfeiture 
3365,TEOC,Transportation Emergency Operations Center
3369,TFCC,Task Force Control Center
3384,TIOC,Transportation Information Operations Center
3389,TLC,Territory Logistics Centers
3390,TLC-C,Territory Logistics Center- Central
3391,TLC-E,Territory Logistics Center- East
3392,TLC-W,Territory Logistics Center-West
3404,TPC,Tropical Prediction Center
3414,Treas,Department of the Treasury
3415,TRES,Department of the Treasury
3425,TSAC,Towing Safety Advisory Committee 
3429,TSCC,Transportation Security Command Center
3431,TSD,Technical Services Division
3437,TSWG,Technical Support Working Group
3439,TTC,Technical Training Center
3441,TTIC,Terrorism/Terrorist Threat Integration Center 
3449,TVA,Tennessee Valley Authority
3460,UCGIS,University Consortium for Geographic Information Science
3474,UMCOR,United Methodist Committee On Relief
3476,UMOC,Unified Medical Operations Center
3480,UNDRO,United Nations Disaster Relief Organization
3481,UNHCR,United Nations High Commissioner for Refugees
3483,UNSCOM,United Nations Special Commission
3484,UOC,USACE Operations Center
3489,URISA,Urban and Regional Information Systems Association
3491,USACBDC,United States Army Chemical and Biological Defense Command
3492,USACDA,US Arms Control and Disarmament Agency
3494,USACE,United States Army Corps of Engineers
3495,USACHPPM,United States Army Center for Health Promotion and Preventive Medicine
3496,USACMDA,United States Army Chemical Material Destruction Agency
3498,USADACS,United States Army Defense Artillery Center and School
3499,USAF,United States Air Force 
3500,USAFA,United States Air Force Academy 
3501,USAID,United States Agency for International Development 
3502,USA-ITA,U.S. Association for Importers of Textiles and Apparel
3504,USAMRICD,United States Army Medical Research Institute of Chemical Defense
3505,USAMRIID,United States Army Medical Research Institute for Infectious Disease 
3506,USANCA,United States Army Nuclear and Chemical Agency
3509,USAR,United States Army Reserve
3510,USBP,United States Border Patrol
3511,USBR,United States Bureau of Reclamation
3513,USCG,United States Coast Guard 
3514,USCGR,United States Coast Guard Reserve
3515,USCIS,United States Citizenship and Immigration Services
3516,USCOLD,United States Committee On Large Dams 
3517,USCS,United States Customs Service 
3518,USCSCFAC,U.S. Customs Service COBRA Fees Advisory Committee 
3519,USDA,United States Department of Agriculture 
3520,USDA,United States Department of Agriculture
3521,USDOI,United States Department of the Interior
3522,USDOL,United States Department of Labor
3523,USDOT,United States Department of Transportation
3524,USFA,United States Fire Administration 
3525,USFS,United States Forest Service
3526,USFWS,United States Fish and Wildlife Service
3528,USGS,United States Geological Survey
3530,USIA,United States Information Agency 
3532,USJFCOM,United States Joint Forces Command 
3533,USMC,United States Marine Corps 
3534,USMCR,United States Marine Corps Reserve
3536,USMRICD,United States Army Medical Research Institute of Chemical Defense
3537,USMS,United States Marshals Service 
3539,USN,United States Navy 
3540,USNR,United States Naval Reserve
3541,USNORTHCOM,United States Northern Command 
3542,USOC,United States Olympic Committee
3543,USPACOM,United States Pacific Command
3544,USPHS,United States Public Health Service 
3545,USPIS,United States Postal Inspection Service 
3546,USPP,United States Park Police 
3547,USPS,United States Postal Service 
3548,USSOCOM,United States Special Operations Command
3549,USSOUTHCOM,United States Southern Command
3550,USSPACECOM,United States Space Command
3551,USSS,United States Secret Service 
3552,USSTRATCOM,United States Strategic Command
3554,USTA,United States Telecom Association
3555,USTR,United States Trade Representative Office 
3556,USTRANSCOM,United States Transportation Command
3557,USVI,United States Virgin Islands
3558,US-VISIT,United States Visitor and Immigrant Status Indicator Technology 
3566,VAL,Voluntary Agency Liaison
3567,VAMC,Veteran's Administration Medical Center
3573,VDEM,Virginia Department of Emergency Management
3576,VERA,Voluntary Early Retirement Authority
3577,VFD,Volunteer Fire Department
3580,VHA,Veterans Health Administration 
3586,VIPS,Volunteers In Police Service 
3587,VISC,Visual Information Support Center
3590,VISTA,Volunteers In Service To America
3591,VITA,Volunteers In Technical Assistance
3592,VITEMA,Virgin Islands Territorial Emergency Management Agency
3597,VNPSC,Virginia National Processing Service Center
3598,VOA,Volunteers of America
3599,VOAD,Voluntary Organizations Active in Disaster
3606,VRC,Volunteer Reception Center
3621,WATS,Wide Area Telecommunications Service
3624,WCATWC,West Coast & Alaska Tsunami Warning Center
3625,WCO,World Customs Organization
3635,WHCA,White House Communications Agency
3636,WHLO,White House Liaison Office
3637,WHMO,White House Military Office
3638,WHO,World Health Organization 
3639,WHS,Washington Headquarters Services
3646,WMATA,Washington Metropolitan Area Transport Authority 
3647,WMD-DAC,WMD Decision Analysis Center 
3649,WMO,World Meteorological Organization 
3657,WSSPC,Western States Seismic Policy Council
3660,WTO,World Trade Organization 
3661,WVOES,West Virginia Office of Emergency Services
3671,YCC,Youth Conservation Corps
3700,AAA,Agriculture Adjustment Administration
3701,AAA,American Automobile Association
3703,AAC,Applicant Assistance Center
3706,AAR,Association of American Railroads
3707,ABA,American Bankers Association
3708,ABA,American Bar Association
3709,ABC,American Baptist Churches
3715,ACC,Agency Command Center
3716,ACC,Air Combat Command
3717,ACC,American Chemistry Council
3718,ACC,Aviation Command Center
3719,ACE,American Council on Education
3720,ACE,Army Corps of Engineers
3723,ACF,Administration for Children and Families
3726,ACI,Airports Council International
3737,ACR,Acreage Conservation Reserve
3740,ACS,Adventist Community Services
3741,ACS,Alternate Command Staff
3745,ADRA,Act Adventist Development and Relief Agency
3750,AEC,Atomic Energy Commission
3751,AECC,Aeromedical Evacuation Coordination Center
3752,AECC,American Evangelical Christian Church
3758,AF,Air Force
3763,AGC,Association of General Contractors
3764,AIA,American Institute of Architects
3765,AIA,American Insurance Association
3773,ALC,Agency Logistics Center
3775,ALCC,Airlift Control Center
3781,AMC,Air Mobility Command
3782,AMC,Army Materiel Command
3784,AMS,American Meteorological Society
3797,AOC,Aircraft Operating Center
3799,AOC,Army Operations Center
3804,APA,American Planning Association
3819,ARS,Agriculture Research Service
3823,ASC,Advanced Systems Center
3825,ASC,Application Support Center
3836,ATA,Airline Transportation Association
3838,ATC,Applied Technology Council
3851,BIA,Board of Immigration Appeals
3852,BIA,Bureau of Indian Affairs
3856,BPA,Border Patrol Agent
3867,BTS,Bureau of Transportation Statistics
3869,C3,Customs Cybersmuggling Center
3876,CAC,Citizens' Advisory Commissions
3877,CAC,Civil Applications Committee
3878,CAC,Climate Analysis Center
3880,CAC,Crisis Action Center
3888,CAO,Caribbean Area Office
3892,CAP,Civil Air Patrol
3894,CAP,Combat Air Patrol
3902,CAS,Chemical Abstract Service
3906,CAT,Collier Area Transit
3913,CBA,Contractors and Builders Association
3921,CBO,Congressional Budget Office
3922,CBO,Community Based Organization
3929,CC,Coordination Center
3932,CCC,Commodity Credit Corporation
3933,CCC,Congregate Care Center
3934,CCC,Crisis Coordination Center
3935,CCO,Claims Coordinating Office
3963,CFA,Cognizant Federal Agency
3971,CG,Coast Guard
3980,CIS,Citizenship and Immigration Services
3987,CMA,Chemical Manufacturers Association
3988,CMA,Chemical Materials Agency
3990,CMC,Center for Marine Conservation
3991,CMC,Crisis Management Center
3993,CMC,Customs Management Centers
4001,CNS,Corporation for National Security
4002,CNS,Corporation for National Service
4007,COC,Combat Operations Center
4036,CRO,Community Reuse Organization
4039,CRS,Catholic Relief Services
4041,CRS,Community Relations Service
4042,CRS,Congressional Research Service
4046,CSA,Community Services Administration
4047,CSG,Council of State Governments
4048,CSG,Counterterrorism Security Group
4051,CSIS,Canadian Security Intelligence Service
4052,CSIS,Center for Strategic International Studies
4061,CTC,Conference and Training Center
4062,CTC,Counter-Terrorism Center
4064,CTD,Counterterrorist Division
4071,CWS,Church World Service
4076,DA,Department of the Army
4078,DAC,Disaster Assistance Center
4089,DCA,Defense Ammunition Center
4090,DCA,Defense Communications Agency
4092,DCC,Document Control Center
4093,DCC,Donation Coordination Center
4102,DEA,Drug Enforcement Administration
4103,DEC,DCI Environmental Center
4104,DEC,Director's Executive Council
4105,DEC,Disasters Emergency Committee
4106,DEM,Department of Environmental Management
4108,DEM,Division of Emergency Management
4109,DEP,Department of Environmental Protection
4112,DES,Disaster Emergency Services
4113,DES,Division of Emergency Services
4118,DMA,Defense Mapping Agency
4121,DNA,Defense Nuclear Agency
4129,DOC,Department of Commerce
4130,DOC,Department of Conservation
4131,DOC,Department of Corrections
4132,DOC,Department Operations Center
4134,DOS,Department of State
4165,EAB,Enterprise Architecture Board
4170,EAO,Energy Assurance Office
4180,ECG,Emergency Coordination Group
4181,ECG,Exercise Control Group
4187,ED,Department of Education
4189,EDC,EROS Data Center
4190,EDC,Energy Disruption Committee
4197,EIS,Epidemiological Intelligence Service
4221,EOC,European Olympic Committee
4235,EPOC,Emergency Preparedness Operations Center
4261,ETA,Employment and Training Administration
4263,ETC,Emergency Transportation Center
4268,FAA,Federal Aviation Administration
4272,FAC,Family Assistance Center
4273,FAC,Financial Attack Center
4274,FAC,Foreign Air Carrier
4278,FAAO,Food & Agricultural Organization
4281,FAS,Foreign Agricultural Service
4284,FC,Fire Corps
4285,FCC,Federal Communications Commission
4286,FCC,Federal Coordinating Center
4289,FCS,Food and Consumer Service
4290,FCS,Farm Credit Service
4293,FEB,Federal Executive Board
4295,FERC,Federal Energy Regulatory Commission
4297,FHA,Federal Housing Administration
4314,FMC,Federal Maritime Commission
4315,FMC,Federal Mobilization Center
4317,FOC,FEMA Operations Center
4318,FOC,Forward Operations Center
4321,FOS,Family of Services
4322,FOS,Federal Operations Support
4323,FPC,Federal Power Commission
4329,FRC,Federal Records Center
4330,FRC,Federal Regional Center
4332,FRC,Federal Response Center
4339,FS,Forest Service
4340,FSA,Farm Service Agency
4343,FSC,Federal Support Center
4344,FSC,FEMA Storage Center
4346,FSD,Forensic Services Division
4351,FTC,Federal Trade Commission
4378,HLS,Homeland Security
4387,HS,Homeland Security
4388,HS,Human Services
4389,HSC,Health Service Command
4390,HSC,Homeland Security Center
4391,HSC,Homeland Security Council
4406,ICC,Incident Command Center
4408,ICC,Intelligence Control Center
4409,ICC,International Code Council
4411,ICD,Infrastructure Coordination Division
4412,ICD,Institute of Chemical Defense
4413,ICE,Immigration and Customs Enforcement
4417,ICP,Incident Command Post
4421,ICS,Initial Contingency Staff
4431,IEA,International Energy Agency
4443,IHC,International Hurricane Center
4449,IMC,International Medical Corps
4457,INS,Immigration and Naturalization Service
4461,IOC,International Olympic Committee
4467,IPC,Interagency Planning Committee
4468,IPC,International Paralympic Committee
4474,IPS,Information and Planning Section
4476,IPS,International Port Security
4480,IRB,Information Resources Board
4481,IRB,Investment Review Board
4483,IRC,Information Resources Center
4493,ISAC,Information Sharing and Analysis Center
4494,ISAC,Infrastructure Sector Advisory Committee
4496,ISC,Interstate Commerce
4497,ISO,Incident Support Organization
4498,ISO,Insurance Services Office
4499,ISO,International Standards Organization
4500,ISOC,Information Security Oversight Committee
4510,ITC,Information Technology Committee
4512,ITC,International Trade Commission
4517,JAG,Joint Action Group
4519,JIC,Joint Information Center
4520,JIC,Joint ICE Center
4521,JIC,Joint Intelligence Center
4528,LEA,Law Enforcement Agency
4543,LRC,Learning Resource Center
4544,LRC,Logistics Readiness Center
4547,LSC,Legal Services Corporation
4548,LSC,Life Support Center
4553,MAC,Mapping & Analysis Center
4558,MACC,Multi-Agency Coordination Center
4559,MACC,Multi Agency Crime Center
4563,MBA,Master of Business Administration
4564,MBA,Mortgage Bankers Association
4565,MC,Marine Corps
4568,MC,Mobilization Center
4571,MCC,Mobility Control Center
4572,MCC,Movement Coordination Center
4573,MCC,Mission Control Center
4576,MD,Management Directive
4580,MEMA,Maine Emergency Management Agency
4581,MEMA,Maryland Emergency Management Agency
4582,MEMA,Massachusetts Emergency Management Agency
4583,MEMA,Mississippi Emergency Management Agency
4584,MEMA,Missouri Emergency Management Agency
4585,MEMA,Motor & Equipment Manufacturers Association
4589,MIC,Media Information Center
4598,MP,Military Police
4601,MPC,Midterm Planning Committee
4606,MRC,Management Review Council
4607,MRC,Medical Reserve Corps
4614,MSC,Marine Safety Center
4615,MSC,Map Service Center
4616,MSC,Major Subordinate Command
4617,MSC,Mobile Switching Center
4632,NAC,National Advisory Committee
4634,NAC,Nebraska Avenue Center
4637,NCPC,National Capitol Planning Commission
4638,NCPC,National Crime Prevention Council
4647,NEMA,National Emergency Management Association
4648,NEMA,Nebraska Emergency Management Agency
4651,NFDA,National Flood Determination Association
4652,NFDA,National Funeral Directors Association
4655,NGA,National Geospatial-Intelligence Agency
4656,NGA,National Governor Association
4658,NGB,National Guard Bureau
4660,NIAC,National Infrastructure Advisory Council
4661,NIAC,National Iranian American Council
4662,NIC,National Instrumentation Center
4663,NIC,NIMS Integration Center
4670,NLC,National League of Cities
4672,NMC,National Meteorological Center
4674,NOC,National Olympic Committee
4675,NOC,National Operations Center
4676,NOC,Navy Operations Center
4677,NOC,Negotiations Operations Center
4678,NOC,Network Operations Center
4685,NPC,National Paralympic Committee
4686,NPC,National Petroleum Council
4689,NRC,National Records Center
4690,NRC,National Research Council
4691,NRC,National Response Center
4692,NRC,Nuclear Regulatory Commission
4693,NRCC,National Response Coordination Center
4694,NRCC,Northern Regional Coordination Center
4697,NSA,National Security Agency
4699,NSA,National Sheriff Association
4701,NSC,National Safety Council
4702,NSC,National Security Council
4704,NSC,NFIRS Support Center
4706,NSD,National Security Directive
4707,NSF,National Science Foundation
4708,NSF,National Strike Force
4713,NTC,National Targeting Center
4714,NTC,National Teleregistration Center
4719,OAR,Office of Air and Radiation
4720,OAR,Office of Oceanic and Atmospheric Research
4721,OAS,Office of Administrative Support
4722,OAS,Office of Aircraft Services
4723,OAS,Organization of American States
4724,OCA,Office of Congressional Affairs
4725,OCA,Original Classification Authority
4726,OCR,Office of Collateral Responsibility
4734,OEP,Office of Emergency Preparedness
4735,OFF,Office of Finance
4748,ORD,Office of the Regional Director
4753,OSC,Operation Safe Commerce
4754,OSC,Operations or Operational Support Center
4755,OSD,Office of the Secretary of Defense
4756,OSD,Operations Support Division
4758,OST,Office of the Secretary for Transportation
4767,PAC,Political Action Committee
4768,PAC,Primary Agency Committee
4770,PAO,Pacific Area Office
4777,PBS,Public Building Service
4781,PCT,Polk County Transit
4785,PD,Police Department
4789,PDA,Personal Data Assistant
4792,PDC,Pacific Disaster Center
4796,PEG,Performance Evaluation Group
4801,PFA,Primary Federal Agency
4802,PFA,Procurement Funding Authority
4842,PRC,Postal Rate Commission
4850,PSD,Protective Security Division
4856,PTI,Public Technology Inc.
4862,RAA,Regional Airline Association
4865,RAC,Regional Assistance Committee
4882,ARC,Red Cross
4888,RCC,Regional Climate Center
4889,RCC,Rescue Coordination Center
4902,REA,Rural Electrification Administration
4913,RHA,Rural Housing Agency
4927,RPA,Regional Planning Agent
4951,SA,Salvation Army
4960,SAIC,Science Applications International Corporation
4977,SBA,Small Business Administration
4980,SCAT,Security Control of Air Traffic
4981,SCAT,Space Coast Area Transit
4983,SDO,Standards Development Organizations
5003,SMI,Safety Management Institute
5004,SMI,Smithsonian Institute
5008,SOC,State or Security Operations Center
5013,SPG,Senior Policy Group
5021,SSA,Self Storage Association
5022,SSA,Social Security Administration
5025,SSC,Strategic Storage Center
5039,STC,Satellite Teleregistration Center
5041,STU,Satellite Transmission Unit
5042,STU,Secure Telephone Unit
5051,TAC,Technical Advisory Committee
5052,TAC,Technical Assistance Contractor
5055,TAG,Technology & Architecture Group
5057,TAG,Threat Advisory Group
5060,TCC,Telecommunications Center
5061,TCC,Transportable Communications Center
5062,TCC,Telephone Contact Center
5073,TIA,Telecommunications Industry Association
5079,TMC,Transportation Management Center
5080,TMC,Travel Management Center
5086,TOA,Transportation Operating Agency
5088,TOC,Tactical Operations Center
5089,TOC,Traffic Operations Center
5091,TPO,Transition Planning Office
5092,TRC,Telephone Response Center
5093,TRC,Technology Review Committee
5097,TSA,The Salvation Army
5098,TSA,Transportation Security Administration
5099,TSB,Technical Services Branch
5100,TSB,Training Support Brigade
5101,TSC,Technical Support Center
5102,TSC,Terrorist Screening Center
5134,VA,Department of Veteran's Affairs
5156,YLD,Young Lawyers Division
,SMC,Specialized Management Center
,AECC,Aeromedical Evacuation Control Center
,DAC,Disaster Application Center
,EOC,Emergency Operations Center
,OEP,Office of Emergency Preparedness
